IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
Center za uravnotežen razvoj Vitra,x,,49668226,zasebna,Cerknica,,,,,"CAMSIAD – Costumes and Masks Stimulating
Innovative Art and Design",11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo ŠKUC,ŠKUC_Association,http://www.culture.si/en/%C5%A0KUC_Association,97827665,zasebna,Ljubljana,,,,,Europe United,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo ŠKUC ,ŠKUC_Association,http://www.culture.si/en/%C5%A0KUC_Association,97827665,zasebna,Ljubljana,,,,,Re_public:art,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Gornjesavski muzej Jesenice,"Upper Sava Valley Museum, Jesenice","http://www.culture.si/en/Upper_Sava_Valley_Museum,_Jesenice",,javna,Jesenice,,,,,Beautiful Wasteland,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,,,,Social Noises,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 149.994,00",CZ,,txOom,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,,,,Virtual Centre Media Net,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
"Mestna občina Ljubljana, Oddelek za gospodarske dejavnosti in turizem",Municipality of Ljubljana,http://www.culture.si/en/Municipality_of_Ljubljana,,javna,Ljubljana,,"€ 130.714,00",BE,,Art.Ce.Mo,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,Mobile Art Radio,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,"Gravity – Arts, Religion, Science",15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,The New European Contemporary Art Network,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Občina Tolmin,Municipality of Tolmin,http://www.culture.si/en/Tolmin_Municipality,,javna,Tolmin,,"€ 567.304,00",ES,,Genius Loci Network at Modern Visual Arts,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Zavod Maska,Maska Institute,http://www.culture.si/en/Maska_Institute,72537604,zasebna,Ljubljana,,,,,Zero Visibility,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Zavod Projekt Atol,Projekt_Atol_Institute,http://www.culture.si/en/Projekt_Atol_Institute,20971770,zasebna,Ljubljana,,,,,MIR – Microgravity Interdisciplinary Research,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo slovenskih pisateljev,Slovene_Writers'_Association,http://www.culture.si/en/Slovene_Writers%E2%80%99_Association,,zasebna,Ljubljana,,"€ 193.080,00",NL,,Poetry International Web,15,40,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
NUK,National_and_University_Library,http://www.culture.si/en/National_and_University_Library,79713513,javna,Ljubljana,,,,,Wall and Paper: Schönbrunn,14,1,P,2002,Kultura 2000 (2000-2006),Akcija 3,AKCIJA 3 – Evropski laboratoriji kulturne dediščine,Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
"Univerza v Ljubljani, Filozofska fakulteta, Odd. za germanistiko, skandinavistiko in nederlandistiko","Department of German, Dutch and Swedish, University of Ljubljana","http://www.culture.si/en/Department_of_German,_Dutch_and_Swedish,_University_of_Ljubljana",,javna,Ljubljana,,"€ 104.039,00",SI,,European Literature Heritage in Context,11,1,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Zavod K6/4,K6/4_Institute,http://www.culture.si/en/K6/4_Institute,82139288,zasebna,Ljubljana,"€ 46.491,00",,,,"Break 2.2 international festival – Invisible
threat",11,3,V,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Mednarodni grafični likovni center,"International Centre of Graphic Arts, Ljubljana","http://www.culture.si/en/International_Centre_of_Graphic_Arts,_Ljubljana",39110079,javna,Ljubljana,"€ 43.000,00","€ 150.000,00",AT,,25th International Biennial of Graphic Arts,11,3,V,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
EMOTIONFILM,Vertigo/Emotionfilm,http://www.culture.si/en/Vertigo/Emotionfilm,30305489,zasebna,Ljubljana,"€ 40.000,00","€ 103.000,00",CZ,,Temna stran zemlje / The Dark Side of the Earth,190,8,V,2003,MEDIA Plus (2001-2006),Razvoj projektov - samostojni projekti,Podpora za neodvisne AV producente pri razvoju samostojnega filmskega projekta,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 34.442,00",,,,7th International Medana Festival,11,40,V,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Center za slovensko književnost,Centre_for_Slovenian_Literature,http://www.culture.si/en/Centre_for_Slovenian_Literature,49837478,zasebna,Ljubljana,"€ 29.104,00","€ 493.277,00",GR,,ALEPH (7 knjig),13,41,V,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Založba /*cf,Založba /*cf,http://www.culture.si/en/Zalo%C5%BEba_/*cf,87121972,zasebna,Ljubljana,"€ 18.286,00",,,,Delajmo Evropo / The Making of Europe (Modra zbirka) (5 knjig),13,41,V,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 12.000,00",,,,Kopps / Kifeljci,220,9,V,2003,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 6.000,00","€ 79.600,00",AT,,"Se Til Venstre, der er en Svensker (Old, New, Borrowed and Blue) / Staro, Novo, Sposojeno in modro ",220,9,V,2003,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
SLOVENSKA KINOTEKA,Slovenian_Cinematheque,http://www.culture.si/en/Slovenian_Cinematheque,45044309,javna,Ljubljana,"€ 6.000,00","€ 82.987,00",IT,,Yadon Ilaheyya (aka Intervention Divine) / Božje posredovanje: kronika ljubezni in bolečine ,220,9,V,2003,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 5.000,00",,,,Bloody Sunday / Krvava nedelja,220,9,V,2003,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"Mestna občina Ljubljana, Oddelek za kulturo in raziskovalno dejavnost",Municipality of Ljubljana,http://www.culture.si/en/Municipality_of_Ljubljana,,javna,Ljubljana,,,,,SCENE – Significant European Cemeteries Network,14,1,P,2003,Kultura 2000 (2000-2006),Akcija 3,AKCIJA 3 – Evropski laboratoriji kulturne dediščine,Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
"Univerza v Mariboru, FERI, Laboratorij za geometrijsko modeliranje in algoritme multimedije ","Faculty of Electrical Engineering and Computer Science, University of Maribor","http://www.culture.si/en/Faculty_of_Electrical_Engineering_and_Computer_Science,_University_of_Maribor",,javna,Maribor,,"€ 588.117,00",IT,,Virtual Heart of Central Europe,11,1,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Cankarjev dom,"Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,,"€ 142.361,00",BE,,FiniX,11,2,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Društvo Primorski poletni festival,"Primorska Summer Festival, Koper-Capodistria","http://www.culture.si/en/Primorska_Summer_Festival,_Koper-Capodistria",79547630,zasebna,Koper,,,,,Venice Eastern Gate,11,2,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Festival Ljubljana,Ljubljana_Festival,http://www.culture.si/en/Ljubljana_Festival,74608002,javna,Ljubljana,,,,,Sounds of the Spirit,11,2,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Kulturno društvo B-51,B-51_Cultural_Society,http://www.culture.si/en/B-51_Cultural_Society,86861069,zasebna,Ljubljana,,"€ 48.905,00",HU,,Venice Eastern Gate,11,2,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod Exodos,Exodos_Institute,http://www.culture.si/en/Exodos_Institute,91717086,zasebna,Ljubljana,,,,,Stage in Motion,11,2,P,2003,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
DRUŠTVO NOVOMEŠKIH ŠTUDENTOV,Novo_mesto_Student_Association,http://www.culture.si/en/Novo_mesto_Student_Association,84016663,,Novo mesto,"€ 10.000,00","€ 150.000,00",UK,,"SNIFF, Novo mesto International Short Film Festival / SNIFF, Mednarodni festival kratkega filma Novo mesto",250,10,V,2004,MEDIA Plus (2001-2006),Festivali - enoletna podpora,Podpora za organizacijo AV festivalov - enoletna podpora,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,festivali
SNG Nova Gorica,Slovene National Theatre Nova Gorica,http://www.culture.si/en/SNG_Nova_Gorica,86431587,javna,Nova Gorica,"€ 143.723,00",,,,Theatre without Borders international festival,16,2,V,2004,Kultura 2000 (2000-2006),Akcija 3,"AKCIJA 3 – Posebne akcije in dogodki večjega obsega: ""Kulturno praznovanje ob širitvi EU"" (2004)",Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Društvo NSK,NSK Information Centre,http://www.culture.si/en/NSK_Information_Centre,,zasebna,Ljubljana,"€ 143.085,00",,,,East Art Map,11,3,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Zavod Ars Ramovš ,Ars Ramovš,http://www.culture.si/en/Ars_Ramov%C5%A1,51807041,zasebna,Ljubljana,"€ 128.603,00",,,,Festival Brežice Group 2004,11,2,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Arboretum Volčji potok,Arboretum Volčji Potok,http://www.culture.si/en/Arboretum_Vol%C4%8Dji_Potok,,javna,Radomje,"€ 109.999,00","€ 105.050,00",DE,,Europe in Miniature,11,1,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
"Univerza na Primorskem, ZRS, Inštitut za dediščino Sredozemlja","Institute for Mediterranean Humanities and Social Studies, SRC Koper","http://www.culture.si/en/Institute_for_Mediterranean_Humanities_and_Social_Studies,_SRC_Koper",,javna,Koper,"€ 108.350,00",,,,Heritage of Serenissima (I),11,1,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
"Tehnološko inovacijski zavod Dravinjske doline (ne deluje več)
",x,,,zasebna,Slovenske Konjice,"€ 104.039,00","€ 71.097,00",IT,,"Dynamic and professional educational centres for
executive cultural management",11,1,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Zavod En-Knap,En-Knap Productions,http://www.culture.si/en/En-Knap_Productions,86968149,zasebna,Ljubljana,"€ 96.790,00",,,,"CIMET – Cultural Intersections, Mobility,
Education and Tradition",11,2,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 73.188,00","€ 80.256,00",AT,,Avtomatična distribucija v 2004,230,9,V,2004,MEDIA Plus (2001-2006),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 45.949,00",,,,Beletrina (7 knjig),13,41,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Založba /*cf,Založba /*cf,http://www.culture.si/en/Zalo%C5%BEba_/*cf,87121972,zasebna,Ljubljana,"€ 42.822,00",,,,Delajmo Evropo / The Making of Europe (Modra zbirka) (5 knjig),13,41,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Center za slovensko književnost (sozaložnik Društvo ŠKUC),Centre_for_Slovenian_Literature,http://www.culture.si/en/Centre_for_Slovenian_Literature,49837478,zasebna,Ljubljana,"€ 38.310,00",,,1 član mreže,Lambda (9 knjig),13,41,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 37.656,00",,,,Koda in Claritas (7 knjig),13,41,V,2004,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Prevodni projekti (4 do 10 del; evropsko leposlovje in humanistika),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
"Vertigo, zavod za kulturne dejavnosti",Vertigo/Emotionfilm,http://www.culture.si/en/Vertigo/Emotionfilm,99958821,zasebna,Ljubljana,"€ 30.000,00",,,,Estrelita ,190,8,V,2004,MEDIA Plus (2001-2006),Razvoj projektov - samostojni projekti,Podpora za neodvisne AV producente pri razvoju samostojnega filmskega projekta,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
CINEMANIA GROUP,Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 26.408,00","€ 888.006,00",AT,,Avtomatična distribucija v 2004,230,9,V,2004,MEDIA Plus (2001-2006),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
FIVIA,Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 22.309,00","€ 193.080,00",NL,,Avtomatična distribucija v 2004,230,9,V,2004,MEDIA Plus (2001-2006),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CINEMANIA GROUP,Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 12.000,00",,,2 člana mreže,La Marche de l'empereur / Popotovanje cesarskega pingvina,220,9,V,2005,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 9.000,00","€ 150.000,00",IT,,Ondskan (Evil) / Zlo,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
LJUBLJANSKI KINEMATOGRAFI,x,http://www.culture.si/en/Kolosej_Cinemas,50912518,zasebna,Domžale,"€ 9.000,00","€ 98.437,00",IT,,Die Fetten Jahre Sind Vorbei (The Educators) / Vzgojitelji,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
SLOVENSKA KINOTEKA,Slovenian_Cinematheque,http://www.culture.si/en/Slovenian_Cinematheque,45044309,javna,Ljubljana,"€ 9.000,00",,,,Les triplettes de Belleville / Trojčice iz Bellevilla,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Art kino mreža Slovenije,Art Cinema Network,http://www.culture.si/en/Art_Cinema_Network,24146170,zasebna,Slovenj Gradec,"€ 7.301,00","€ 200.000,00",,,Prikazovanje evropskih filmov v 2003,270,11,V,2004,MEDIA Plus (2001-2006),Mreža Europa Cinemas,Europa Cinemas podpora za kinematografsko prikazovanje evropskih AV del ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,prikazovanje
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 7.000,00","€ 890.100,00",AT,,Buddy / Prijatelji,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
A.G.MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 7.000,00","€ 889.107,00",NL,,Shouf Shouf Habibi! / Totalna zmešnjava,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CANKARJEV DOM,"Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 6.000,00","€ 200.000,00",AT,,Head On / Z glavo ob zid,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CANKARJEV DOM,"Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 6.000,00",,,,Reconstruction / Rekonstrukcija,220,9,V,2004,MEDIA Plus (2001-2006),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
