IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
A.G. MARKET,A G Market/Art Vision,http://www.culture.si/en/A_G_Market/Art_Vision,34910689,zasebna,Ljubljana,"€ 3.500,00",,,,El laberinto del Fauno,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG ,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 3.500,00",,,,Unser Taglich Brot,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 3.000,00",,,,Reprise,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CINEMANIA GROUP,Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 3.000,00",,,,Ex Drummer,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
FIVIA,Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 3.000,00",,,,Becoming Jane,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CANKARJEV DOM,"Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 3.000,00",,,,12:08 East of Bucharest,22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CANKARJEV DOM,"Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 3.000,00",,,,"You, the living",22,9,V,2007,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Gledališče Ane Monro,Ana Monró Theatre,http://www.culture.si/en/Ana_Monr%C3%B3_Theatre,28749243,zasebna,Ljubljana,,"€ 199.801,00",ES,,Meridians,2  ,2,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
RTV Slovenija (Simfonični orkester RTV Slovenija),RTV_Slovenia_Symphony_Orchestra,http://www.culture.si/en/RTV_Slovenia_Symphony_Orchestra,29865174,javna,Ljubljana,,"€ 200.000,00",FR,,"An Orchestra Network of Europe - ONE, a new dimension",2  ,2,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod Exodos,Exodos_Institute,http://www.culture.si/en/Exodos_Institute,91717086,zasebna,Ljubljana,,"€ 198.770,00",LV,,Mobile Lab for Theatre and Communication,2  ,2,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Galerija ŠKUC (Društvo ŠKUC),Škuc_Gallery,http://www.culture.si/en/%C5%A0kuc_Gallery,35931205,zasebna,Ljubljana,,"€ 200.000,00",AT,,Land of Human Rights,2  ,3,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Inter-kulturo d.o.o.,x,,68339593,zasebna,Maribor,,"€ 63.950,00",HR,,ICBIE – Indian children´s book in Europe & three European children´s books in India,3  ,40,P,2007,Kultura (2007-2013),Sklop 1.3.5,Podpora za projekte sodelovanja s tretjimi državami (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Center za uravnotežen razvoj (Vitra),x,,49668226,zasebna,Cerknica,,,,,"CHANTICA - Culture, History and Nature Together In Contemporary Art",2  ,1,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 149.214,00",UK,,Post Me_New ID - The Post Human Condition of Modern Europeans,2  ,6,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),intermedijske umetnosti in nove tehnologije,intermedijske umetnosti in nove tehnologije
KUD Mreža,KUD_Mreža_Arts_and_Culture_Association,http://www.culture.si/en/KUD_Mre%C5%BEa_Arts_and_Culture_Association,79446582,zasebna,Ljubljana,,"€ 55.022,00",NL,,Women Crossing Communities - A trilogy,2  ,7,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Društvo slovenskih filmskih ustvarjalcev (DSFU),Association_of_Slovene_Film_Workers,http://www.culture.si/en/Association_of_Slovene_Film_Workers,42697948,,Ljubljana,,"€ 325.000,00",,,OnlineFilm.org,28,12,P,2007,MEDIA (2007-2013),Nove tehnologije - pilotni projekti,"Podpora za izvedbo pilotnih projektov, ki upoštevajo hitre tehnološke spremembe na področju avdiovizualne industrije",MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,nove tehnologije
Korpus,x,,,zasebna,Ljubljana,,"€ 242.701,00",,, Glitner,28,12,P,2007,MEDIA (2007-2013),Nove tehnologije - pilotni projekti,"Podpora za izvedbo pilotnih projektov, ki upoštevajo hitre tehnološke spremembe na področju avdiovizualne industrije",MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,nove tehnologije
Slovenska kinoteka,Slovenian_Cinematheque,http://www.culture.si/en/Slovenian_Cinematheque,45044309,javna,Ljubljana,,"€ 349.044,00",,,Midas ,28,12,P,2007,MEDIA (2007-2013),Nove tehnologije - pilotni projekti,"Podpora za izvedbo pilotnih projektov, ki upoštevajo hitre tehnološke spremembe na področju avdiovizualne industrije",MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,nove tehnologije
Zavod Projekt Atol,Projekt_Atol_Institute,http://www.culture.si/en/Projekt_Atol_Institute,20971770,zasebna,Ljubljana,,"€ 184.092,23",CZ,,IMMEDIATE - Immersive Media Dance Integrating in Telematic Environments,2  ,7,P,2007,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,"€ 904.755,00",,,,X-OP - Exchange of Art Operators and Producers (Izmenjava operaterjev in producentov umetnosti),1  ,7,V,2008,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Ustanova Imago Sloveniae,Imago_Sloveniae,http://www.culture.si/en/Imago_Sloveniae,16486919,zasebna,Ljubljana,"€ 200.000,00",,,,European Musical Summer 2009 – Cultural Networking of Historic Sites,2  ,2,V,2008,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
